中文普通名索引
中文普通名                                                                           英文普通名                     作用機制分類
亞特松                                                                             pirimiphos-methyl               [IRAC] 1B
亞素靈                                                                             monocrotophos          [IRAC] 1B
亞培松                                                                             temephos               [IRAC] 1B
亞速隆                                                                             ethoxysulfuron         [HRAC] B
亞速爛                                                                             asulam                 [HRAC] I
亞喜芬                                                                             acifluorfen-sodium     [HRAC] E
亞滅培                                                                             acetamiprid            [IRAC] 4A
亞滅寧                                                                             cypermethrin, alpha-   [IRAC] 3A
亞賜圃                                                                             isoprothiolane         [FRAC] 6, F2
亞環錫                                                                             azocyclotin            [IRAC] 12B
亞磷酸                                                                             phosphorous acid       [FRAC] 33, un02
亞醌蟎                                                                             acequinocyl            [IRAC] 20B
依芬寧                                                                             etofenprox             [IRAC] 3A
依得利                                                                             etridiazole            [FRAC] 14, F3
依殺蟎                                                                             etoxazole              [IRAC] 10B
依速隆                                                                             imazosulfuron          [HRAC] B
依普同                                                                             iprodione              [FRAC] 2, E3
依普座                                                                             epoxiconazole          [FRAC] 3, G1
依滅列                                                                             imazalil               [FRAC] 3, G1
依滅草                                                                             imazapyr               [HRAC] B
依瑞莫                                                                             ethirimol              [FRAC] 8, A2
固殺草                                                                             glufosinate-ammonium   [HRAC] H
拉草                                                                              alachlor               [HRAC] K3
披扶座                                                                             pefurazoate            [FRAC] 3, G1
拔敵草                                                                             butylate               [HRAC] N
易胺座                                                                             imibenconazole         [FRAC] 3, G1
欣克草                                                                             thenylchlor            [HRAC] K3
波爾多                                                                             Bordeaux mixture       [FRAC] M1
治滅蝨                                                                             metolcarb              [IRAC] 1A
矽護芬                                                                             silafluofen            [IRAC] 3A
芬化利                                                                             fenvalerate            [IRAC] 3A
芬佈賜                                                                             fenbutatin oxide       [IRAC] 12B
芬克座                                                                             fenbuconazole          [FRAC] 3, G1
芬殺松                                                                             fenthion               [IRAC] 1B
芬殺草                                                                             fenoxaprop-P-ethyl     [HRAC] A
芬殺蟎                                                                             fenazaquin             [IRAC] 21A
芬普尼                                                                             fipronil               [IRAC] 2B
芬普寧                                                                             fenpropathrin          [IRAC] 3A
芬普福                                                                             fenpropimorph          [FRAC] 5, G2
芬普蟎                                                                             fenpyroximate          [IRAC] 21A
芬滅松                                                                             fenamiphos            [IRAC] 1B
芬瑞莫                                                                             fenarimol             [FRAC] 3, G1
芬諾尼                                                                             fenoxanil             [FRAC] 16.2, I2
芬諾克                                                                             fenoxycarb            [IRAC] 7B
阿巴汀                                                                             abamectin             [IRAC] 6
阿納寧                                                                             acrinathrin           [IRAC] 3A
保米黴素                                                                            blasticidin-S         [FRAC] 23, D2
保粒黴素丁                                                                           polyoxorim            [FRAC] 19, H4
保粒黴素甲                                                                           polyoxins             [FRAC] 19, H4
枯草桿菌                                                                            Bacillus subtilis     [FRAC] 44, F6
剋安勃                                                                             chlorantraniliprole   [IRAC] 28
剋草同                                                                             clethodim             [HRAC] A
待克利                                                                             difenoconazole        [FRAC] 3, G1
拜裕松                                                                             quinalphos            [IRAC] 1B
施得圃                                                                             pendimethalin         [HRAC] K1
氟大滅                                                                             flubendiamide         [IRAC] 28
氟比來                                                                             fluopicolide          [FRAC] 43, B5
氟丙酸                                                                             flupropanate-sodium   [HRAC] N
氟尼胺                                                                             flonicamid            [IRAC] 9C
氟芬隆                                                                             flufenoxuron          [IRAC] 15
氟硫滅                                                                             flusulfamide          [FRAC] 36, un05
氟氯比                                                                             fluroxypyr-meptyl     [HRAC] O
派美尼                                                                             pyrimethanil          [FRAC] 9, D1
派滅淨                                                                             pymetrozine           [IRAC] 9B
美文松                                                                             mevinphos             [IRAC] 1B
美氟綜                                                                             metaflumizone         [IRAC] 22B
美賜平                                                                             methoprene            [IRAC] 7A
飛達松                                                                             heptenophos           [IRAC] 1B
倍尼芬                                                                             benfluralin           [HRAC] K1
座賽胺                                                                             zoxamide              [FRAC] 22, B3
氧化亞銅                                                                            cuprous oxide         [FRAC] M1
泰滅寧                                                                             tralomethrin          [IRAC] 3A
益化利                                                                             esfenvalerate         [IRAC] 3A
益必田成分之一                                                                         MCPB                  [HRAC] O
益斯普                                                                             ethiprole             [IRAC] 2B
益發靈                                                                             dichlofluanid         [FRAC] M6
益滅松                                                                             phosmet               [IRAC] 1B
益達胺                                                                             imidacloprid          [IRAC] 4A
益覆滅                                                                             ethofumesate          [HRAC] N
納乃得                                                                             methomyl               [IRAC] 1A
草芬定                                                                             azafenidin             [HRAC] E
草殺淨                                                                             ametryn                [HRAC] C1
草脫淨                                                                             atrazine               [HRAC] C1
草滅淨                                                                             simazine               [HRAC] C1
除草靈                                                                             propanil               [HRAC] C2
除蟲菊精                                                                            pyrethrins             [IRAC] 3A
馬拉松                                                                             malathion              [IRAC] 1B
培丹                                                                              cartap hydrochloride   [IRAC] 14
密滅汀                                                                             milbemectin            [IRAC] 6
得克利                                                                             tebuconazole           [FRAC] 3, G1
得拉本                                                                             dalapon-sodium         [HRAC] N
得芬瑞                                                                             tebufenpyrad           [IRAC] 21A
得芬諾                                                                             tebufenozide           [IRAC] 18
得匍隆                                                                             tebuthiuron            [HRAC] C2
得恩地                                                                             thiram                 [FRAC] M3
得殺草                                                                             tepraloxydim           [HRAC] A
得脫蟎                                                                             tetradifon             [IRAC] 12D
得滅克                                                                             aldicarb               [IRAC] 1A
得福隆                                                                             teflubenzuron          [IRAC] 15
曼普胺                                                                             mandipropamid          [FRAC] 40, H5
殺丹                                                                              thiobencarb            [HRAC] N
殺克丹成分之一                                                                         fluothiuron            [HRAC] C2
殺芬草                                                                             saflufenacil           [HRAC] E
殺紋寧                                                                             hymexazol              [FRAC] 32, A3
殺蟎多                                                                             Smite                  [IRAC] 12C
氫氧化銅                                                                            copper hydroxide       [FRAC] M1
理有龍                                                                             linuron                [HRAC] C2
畢克草                                                                             clopyralid             [HRAC] O
畢克爛                                                                             picloram               [HRAC] O
畢汰芬                                                                             pyrimidifen            [IRAC] 21A
畢拉草                                                                             bilanafos              [HRAC] H
畢芬寧                                                                             bifenthrin             [IRAC] 3A
畢達本                                                                             pyridaben              [IRAC] 21A
異亞烈寧                                                                            allethrin, d-          [IRAC] 3A
異治滅寧                                                                            tetramethrin, d-       [IRAC] 3A
硫伐隆                                                                             thiofanox              [IRAC] 1A
硫滅松                                                                             thiometon              [IRAC] 1B
硫酸銅                                                                             copper sulfate         [FRAC] M1
硫敵克                                                                             thiodicarb                    [IRAC] 1A
硫賜安                                                                             thiocyclam hydrogen oxalate   [IRAC] 14
第滅寧                                                                             deltamethrin                  [IRAC] 3A
脫禾草                                                                             MCPA-thioethyl                [HRAC] O
脫克松                                                                             tolclofos-methyl              [FRAC] 14, F3
脫芬瑞                                                                             tolfenpyrad                   [IRAC] 21A
莫多草                                                                             metolachlor                   [HRAC] K3
陶斯松                                                                             chlorpyrifos                  [IRAC] 1B
魚藤精                                                                             rotenone                      [IRAC] 21B
傑他賽滅寧                                                                           cypermethrin, zeta-           [IRAC] 3A
富米綜                                                                             ferimzone                     [FRAC] 29, C5
富爾邦                                                                             ferbam                        [FRAC] M3
復祿芬                                                                             oxyfluorfen                   [HRAC] E
斯美地                                                                             metam-sodium                  [HRAC] Z
普伏松                                                                             ethoprophos                   [IRAC] 1B
普克利                                                                             propiconazole                 [FRAC] 3, G1
普拉草                                                                             pretilachlor                  [HRAC] K3
普拔克                                                                             propamocarb hydrochloride     [FRAC] 28, F4
普拔根                                                                             propazine                     [HRAC] C1
普拔草                                                                             propaquizafop                 [HRAC] A
普芬草                                                                             pyrazoxyfen                   [HRAC] F2
普硫松                                                                             prothiofos                    [IRAC] 1B
替拔草                                                                             TBA, 2,3,6-                   [HRAC] O
氯化苦                                                                             chloropicrin                  [IRAC] 8B
氯芬松                                                                             chlorfenvinphos               [IRAC] 1B
菲克利                                                                             hexaconazole                  [FRAC] 3, G1
菲殺淨                                                                             hexazinone                    [HRAC] C1
萘普草                                                                             naproanilide                  [HRAC] K3
鈉得爛                                                                             naptalam                      [HRAC] P
開抑草成分之一                                                                         bensulide                     [HRAC] N
氰乃松                                                                             cyanophos                     [IRAC] 1B
氰乃淨                                                                             cyanazine                     [HRAC] C1
腈硫醌                                                                             dithianon                     [FRAC] M9
愛殺松                                                                             ethion                        [IRAC] 1B
愛速隆                                                                             isouron                       [HRAC] C2
愛落殺成分之一                                                                         dimethametryn                 [HRAC] C1
愛落殺成分之一                                                                         piperophos                    [HRAC] K3
新殺蟎                                                                             bromopropylate                [IRAC] un
滅大松                                                                             methidathion                  [IRAC] 1B
滅加松                                                                             mecarbam            [IRAC] 1B
滅必淨                                                                             metribuzin          [HRAC] C1
滅必蝨                                                                             isoprocarb          [IRAC] 1A
滅多松                                                                             oxydemeton-methyl   [IRAC] 1B
滅克蝨                                                                             XMC                 [IRAC] 1A
滅芬草                                                                             mefenacet           [HRAC] K3
滅芬諾                                                                             methoxyfenozide     [IRAC] 18
滅芬農                                                                             metrafenone         [FRAC] U8, un13
滅派林                                                                             mepanipyrim         [FRAC] 9, D1
滅特座                                                                             metconazole         [FRAC] 3, G1
滅草成分之一                                                                       MCPA                [HRAC] O
滅草胺                                                                             metazachlor         [HRAC] K3
滅速克                                                                             methasulfocarb      [FRAC] 42, un07
滅脫定                                                                             ametoctradin        [FRAC] 45, C8
滅普寧                                                                             mepronil            [FRAC] 7, C2
滅落脫                                                                             napropamide         [HRAC] K3
滅落寧                                                                             chlorbromuron       [HRAC] C2
滅達樂                                                                             metalaxyl           [FRAC] 4, A1
滅爾蝨                                                                             xylylcarb           [IRAC] 1A
滅賜克                                                                             methiocarb          [IRAC] 1A
滅賜松                                                                             demeton-S-methyl    [IRAC] 1B
溴化甲烷                                                                           methyl bromide      [IRAC] 8A
溴克座                                                                             bromuconazole       [FRAC] 3, G1
溴芬諾成分之一                                                                     bromobutide         [HRAC] Z
祿芬隆                                                                             lufenuron           [IRAC] 15
萬隆                                                                              vernolate           [HRAC] N
裕必松                                                                             phosalone           [IRAC] 1B
達有龍                                                                             diuron              [HRAC] C2
達克利                                                                             diniconazole-M      [FRAC] 3, G1
達特南                                                                             dinotefuran         [IRAC] 4A
達馬松                                                                             methamidophos       [IRAC] 1B
達滅芬                                                                             dimethomorph        [FRAC] 40, H5
達滅淨                                                                             diclomezine         [FRAC] 37, un06
達諾殺                                                                             dinoseb             [HRAC] M
雷蒙得                                                                             propachlor          [HRAC] K3
嘉保信                                                                             oxycarboxin         [FRAC] 7, C2
嘉賜黴素                                                          kasugamycin hydrate hydrochloride    [FRAC] 24, D3
嘉磷塞                                                                             glyphosate          [HRAC] G
嘉磷塞三甲基硫鹽                                                                   glyphosate-trimesium           [HRAC] G
嘉磷塞胺鹽                                                                         glyphosate-ammonium            [HRAC] G
嘉磷塞異丙胺鹽                                                                     glyphosate-isopropylammonium   [HRAC] G
滴滴涕                                                                             DDT                            [IRAC] 3B
福化利                                                                             tau-fluvalinate                [IRAC] 3A
福木松                                                                             formothion                     [IRAC] 1B
福多寧                                                                             flutolanil                     [FRAC] 7, C2
福拉比                                                                             furametpyr                     [FRAC] 7, C2
福瑞松                                                                             phorate                        [IRAC] 1B
福爾培                                                                             folpet                         [FRAC] M4
福賜米松                                                                            phosphamidon                   [IRAC] 1B
福賽得                                                                             fosetyl-aluminium              [FRAC] 33, un02
福賽絕                                                                             fosthiazate                    [IRAC] 1B
維利黴素                                                                            validamycin A                  [FRAC] 26, H3
腐絕                                                                              thiabendazole                  [FRAC] 1, B1
蓋普丹                                                                             captan                         [FRAC] M4
賓克隆                                                                             pencycuron                     [FRAC] 20, B4
撲克拉                                                                             prochloraz                     [FRAC] 3, G1
撲殺熱                                                                             probenazole                    [FRAC] P, P2
撲滅松                                                                             fenitrothion                   [IRAC] 1B
撲滅芬成分之一                                                                         phenothrin                     [IRAC] 3A
撲滅寧                                                                             procymidone                    [FRAC] 2, E3
撲奪草                                                                             metobromuron                   [HRAC] C2
樂本松                                                                             tetrachlorvinphos              [IRAC] 1B
樂滅草                                                                             oxadiazon                      [HRAC] E
歐索林酸                                                                            oxolinic acid                  [FRAC] 31, A4
毆拉靈                                                                             oryzalin                       [HRAC] K1
毆殺松                                                                             acephate                       [IRAC] 1B
毆殺斯                                                                             oxadixyl                       [FRAC] 4, A1
毆殺滅                                                                             oxamyl                         [IRAC] 1A
毆滅松                                                                             omethoate                      [IRAC] 1B
毆蟎多                                                                             propargite                     [IRAC] 12C
熱必斯                                                                             phthalide                      [FRAC] 16.1, I1
稻得壯                                                                             molinate                       [HRAC] N
賜派芬                                                                             spirodiclofen                  [IRAC] 23
賜派滅                                                                             spirotetramat                  [IRAC] 23
賜諾特                                                                             spinetoram                     [IRAC] 5
賜諾殺                                                                             spinosad                       [IRAC] 5
鋅乃浦                                                                             zineb                          [FRAC] M3
鋅錳乃浦                                                                           mancozeb                     [FRAC] M3
撻乃安                                                                             dinitramine                  [HRAC] K1
諾伐隆                                                                             novaluron                    [IRAC] 15
錳乃浦                                                                             maneb                        [FRAC] M3
錫蟎丹                                                                             cyhexatin                    [IRAC] 12B
蟎離丹                                                                             chinomethionat               [IRAC] un
獲賜松                                                                             isothioate                   [IRAC] 1B
環克座                                                                             cyproconazole                [FRAC] 3, G1
環殺草                                                                             cycloxydim                   [HRAC] A
環磺隆                                                                             cyclosulfamuron              [HRAC] B
磷化鎂                                                                             magnesium phosphide          [IRAC] 24A
繁米松                                                                             vamidothion                  [IRAC] 1B
賽扶寧                                                                             cyfluthrin                   [IRAC] 3A
賽果培                                                                             thiacloprid                  [IRAC] 4A
賽芬胺                                                                             cyflufenamid                 [FRAC] U6, un11
賽芬蟎                                                                             cyflumetofen                 [IRAC] 25
賽氟滅                                                                             thifluzamide                 [FRAC] 7, C2
賽洛寧                                                                             cyhalothrin, lambda-         [IRAC] 3A
賽座滅                                                                             cyazofamid                   [FRAC] 21, C4
賽速安                                                                             thiamethoxam                 [IRAC] 4A
賽普洛                                                                             cyprodinil                   [FRAC] 9, D1
賽滅淨                                                                             cyromazine                   [IRAC] 17
賽滅寧                                                                             cypermethrin                 [IRAC] 3A
賽達松                                                                             phenthoate                   [IRAC] 1B
賽福座                                                                             triflumizole                 [FRAC] 3, G1
賽福寧                                                                             triforine                    [FRAC] 3, G1
邁克尼                                                                             myclobutanil                 [FRAC] 3, G1
邁隆                                                                              dazomet                      [HRAC] Z
覆滅蟎                                                                             formetanate                  [IRAC] 1A
雙特松                                                                             dicrotophos                  [IRAC] 1B
鏈黴素                                                                             streptomycin sesquisulfate   [FRAC] 25, D4
礦物油                                                                             petroleum oils               [FRAC] NC
蘇力菌                                                                             Bacillus thuringiensis       [IRAC] 11
護汰芬                                                                             flutriafol                   [FRAC] 3, G1
護汰寧                                                                             fludioxonil                  [FRAC] 12, E2
護矽得                                                                             flusilazole                  [FRAC] 3, G1
護粒松                                                                             edifenphos                   [FRAC] 6, F2
護賽寧                                                                             flucythrinate                [IRAC] 3A
鹼性氯氧化銅                                                                          copper oxychloride           [FRAC] M1

以下登記中，尚未命名
                                                                                benthiavalicarb   [FRAC] 40, H5
                                                                                cyenopyrafen      [IRAC] 25
                                                                                fluxapyroxad      [FRAC] 7, C2
                                                                                orthosulfamuron   [HRAC] B
                                                                                picoxystrobin     [FRAC] 11, C3
                                                                                proquinazid       [FRAC] 13, E1
                                                                                valifenalate      [FRAC] 40, H5


*********************************************************************************************************************************************
英文普通名索引
英文普通名                                                                           中文普通名     作用機制分類
abamectin                                                                       阿巴汀       [IRAC] 6
acephate                                                                        毆殺松       [IRAC] 1B
acequinocyl                                                                     亞醌蟎       [IRAC] 20B
acetamiprid                                                                     亞滅培       [IRAC] 4A
acifluorfen-sodium                                                              亞喜芬       [HRAC] E
acrinathrin                                                                     阿納寧       [IRAC] 3A
alachlor                                                                        拉草        [HRAC] K3
aldicarb                                                                        得滅克       [IRAC] 1A
allethrin                                                                       亞烈寧       [IRAC] 3A
allethrin, d-                                                                   異亞烈寧      [IRAC] 3A
alloxydim-sodium                                                                亞汰草       [HRAC] A
aluminium phosphide                                                             好達勝       [IRAC] 24A
ametoctradin                                                                    滅脫定       [FRAC] 45, C8
ametryn                                                                         草殺淨       [HRAC] C1
amisulbrom                                                                      安美速       [FRAC] 21, C4
amitraz                                                                         三亞蟎       [IRAC] 19
asulam                                                                          亞速爛       [HRAC] I
atrazine                                                                        草脫淨       [HRAC] C1
azadirachtin                                                                    印楝素       [IRAC] un
azafenidin                                                                      草芬定       [HRAC] E
azinphos-methyl                                                                 谷速松       [IRAC] 1B
azocyclotin                                                                     亞環錫       [IRAC] 12B
azoxystrobin                                                                    亞托敏       [FRAC] 11, C3
Bacillus subtilis                                                               枯草桿菌      [FRAC] 44, F6
Bacillus thuringiensis                                                          蘇力菌       [IRAC] 11
benalaxyl                                                                       本達樂       [FRAC] 4, A1
benalaxyl-M                                                                     右本達樂      [FRAC] 4, A1
bendiocarb                                                                      免敵克       [IRAC] 1A
benfluralin                                                                     倍尼芬       [HRAC] K1
benfuracarb                                                                     免扶克       [IRAC] 1A
benomyl                                                                         免賴得       [FRAC] 1, B1
benthiavalicarb                                                                 登記中       [FRAC] 40, H5
bensulfuron-methyl                                                              免速隆       [HRAC] B
bensulide                                                                       開抑草成分之一   [HRAC] N
bensultap                                                                       免速達       [IRAC] 14
bentazone                                                                       本達隆       [HRAC] C3
benzoximate                                                                     西脫蟎       [IRAC] un
bifenox                                                                         必芬諾       [HRAC] E
bifenazate                                                                      必芬蟎       [IRAC] un
bifenthrin                                                                      畢芬寧       [IRAC] 3A
bilanafos                                                                       畢拉草       [HRAC] H
binapacryl                                                                      百蟎克       [FRAC] 29, C5
bitertanol                                                                      比多農       [FRAC] 3, G1
blasticidin-S                                                                   保米黴素      [FRAC] 23, D2
Bordeaux mixture                                                                波爾多       [FRAC] M1
boscalid                                                                        白克列       [FRAC] 7, C2
bromacil                                                                        克草        [HRAC] C1
bromobutide                                                                     溴芬諾成分之一   [HRAC] Z
bromopropylate                                                                  新殺蟎       [IRAC] un
bromuconazole                                                                   溴克座       [FRAC] 3, G1
bupirimate                                                                      布瑞莫       [FRAC] 8, A2
buprofezin                                                                      布芬淨       [IRAC] 16
butachlor                                                                       丁基拉草      [HRAC] K3
butafenacil                                                                     布芬草       [HRAC] E
butocarboxim                                                                    佈嘉信       [IRAC] 1A
butralin                                                                        比達寧       [HRAC] K1
butylate                                                                        拔敵草       [HRAC] N
captafol                                                                        四氯丹       [FRAC] M4
captan                                                                          蓋普丹       [FRAC] M4
carbaryl                                                                        加保利       [IRAC] 1A
carbendazim                                                                     貝芬替       [FRAC] 1, B1
carbofuran                                                                      加保扶       [IRAC] 1A
carbosulfan                                                                     丁基加保扶     [IRAC] 1A
carfentrazone-ethyl                                                             乙基克繁草     [HRAC] E
carpropamid                                                                     加普胺       [FRAC] 16.2, I2
cartap hydrochloride                                                            培丹        [IRAC] 14
chinomethionat                                                                  蟎離丹       [IRAC] un
chlomethoxynil                                                                  甲氧基護谷     [HRAC] E
chloramben                                                                      克爛本       [HRAC] O
chlorantraniliprole                                                             剋安勃       [IRAC] 28
chlorbromuron                                                                   滅落寧       [HRAC] C2
chlorfenapyr                                                                    克凡派       [IRAC] 13
chlorfenvinphos                                                                 氯芬松       [IRAC] 1B
